plot	time	faba	weed	cereal	all
5	15	0.00408193300288098	0.00163938525008297	0.0491786817470361	0.0549
5	22	0.0332603530843193	0	0.205239646915681	0.2385
5	29	0.109671934822034	0.00422898844089468	0.456099076737072	0.57
5	36	0.133483756085152	0.00449967301926921	0.796216570895579	0.9342
5	43	0.153748496138974	0.0013947689380703	0.830656734922956	0.9858
5	49	0.210552131113422	0.00222033033132711	0.767527538555251	0.9803
5	56	0.354555882180213	0.00344874944682669	0.610495368372961	0.9685
7	15	0.00512680287697728	0.00089051785567291	0.0519826792673498	0.058
7	22	0.0424777011639676	0.0220838680234239	0.234438430812608	0.299
7	29	0.0639895329007798	0.00893571073076655	0.537974756368454	0.6109
7	43	0.0877247539641617	0.00349984040042121	0.890575405635417	0.9818
7	49	0.201445973307592	0.00173073627947993	0.790223290412927	0.9934
7	56	0.251240327877978	0.0022127588510354	0.705846913270986	0.9593
14	15	0.00457238040354708	0.00219235268835441	0.0131352669080985	0.0199
14	22	0.0389365971804479	0.0519953463833987	0.0778680564361534	0.1688
14	29	0.0534463619760989	0.0229884821504639	0.218265155873437	0.2947
14	36	0.106996328577574	0.0451589672872137	0.448744704135212	0.6009
14	43	0.124734105982633	0.0406762128879962	0.642289681129371	0.8077
14	49	0.169899565433826	0.127314210627811	0.631886223938362	0.9291
14	56	0.19930058228251	0.165151983224272	0.575247434493218	0.9397
17	15	0.00693878434749974	0.0026699753174332	0.0293912403350671	0.039
17	22	0.0532361552920763	0.0469860423293811	0.221577802378542	0.3218
17	29	0.0799990653531022	0.00606548820956819	0.53433544643733	0.6204
17	36	0.0961942111224707	0.00223171599526327	0.864974072882266	0.9634
17	43	0.0461732781177361	0	0.938526721882264	0.9847
22	15	0.00758367586611861	0.0035394010569583	0.0403769230769231	0.0515
22	22	0.0531117946029073	0.0534797044828924	0.0862085009142003	0.1928
22	29	0.0916514080829881	0.00840080760260382	0.338847784314408	0.4389
22	36	0.13675591521111	0.0309789673096232	0.772965117479267	0.9407
22	43	0.145100513087987	0.0172945434737817	0.781304943438231	0.9437
22	49	0.278155284286973	0.0642315039680625	0.639013211744965	0.9814
22	56	0.314439323063918	0.0455636469560151	0.589997029980067	0.95
26	15	0.0040809165786567	0.00163932366468589	0.0662797597566574	0.072
26	22	0.0358589207848837	0.0517999409520349	0.218541138263081	0.3062
26	29	0.0822135252106659	0.0150089782485491	0.582677496540785	0.6799
26	36	0.101284160005856	0.00601028517571271	0.304205554818431	0.4115
26	43	0.0878523943542979	0.00122899098651938	0.887318614659183	0.9764
34	15	0.00299197504761389	0.00773687230458844	0.0453711526477977	0.0561
34	22	0.0440704654762889	0.0892862824164007	0.25004325210731	0.3834
34	29	0.105294351452031	0.0571580208128305	0.500347627735138	0.6628
34	43	0.151236015421082	0.034844313475923	0.785519671102995	0.9716
34	49	0.295579555140969	0.0379061210558388	0.650714323803193	0.9842
34	56	0.288014187664102	0.0288178134105693	0.646367998925328	0.9632
36	15	0.00567267704280526	0.00335552703238334	0.0412717959248114	0.0503
36	22	0.0295357776446909	0.113227681987299	0.21793654036801	0.3607
36	29	0.10537436673268	0.0284402043808691	0.456585428886451	0.5904
36	36	0.171203922526434	0.0180329805031814	0.563963096970385	0.7532
36	43	0.178669741817928	0.00707461220886103	0.787955645973211	0.9737
36	56	0.417495304327676	0.074822791181077	0.470081904491247	0.9624
40	15	0.00539466151424073	0.00601617289251467	0.0579891655932446	0.0694
40	22	0.0443645019062903	0.0414853983327258	0.204250099760984	0.2901
40	43	0.170851829903604	0.00380911275182885	0.791839057344568	0.9665
40	49	0.177496299515203	0.0822977634134087	0.725205937071389	0.985
40	56	0.343389530852051	0.00563580335660798	0.605374665791341	0.9544
48	15	0.00967975065763191	0.00087430005939901	0.0402459492829691	0.0508
48	22	0.0550737719028032	0.0151229003207277	0.168203327776469	0.2384
48	29	0.0534110322320034	0.00717986269513182	0.515409105072865	0.576
48	36	0.0897565141905042	0.0056502874550604	0.811893198354435	0.9073
48	43	0.100089593645557	0.00758251000008425	0.855827896354359	0.9635
48	49	0.2275324776587	0.0147746728377873	0.738692849503512	0.981
48	56	0.392609484340203	0	0.565690515659797	0.9583
49	15	0.00853550720697653	0	0.0190644927930235	0.0276
