Plot	TreatmentN	Treatment
1	3	3T:1F
2	6	F+
3	7	T
4	5	T+
5	1	1T:1F
6	4	TF-M
7	8	F
8	2	1T:3F
9	7	T
10	5	T+
11	3	3T:1F
12	4	TF-M
13	2	1T:3F
14	1	1T:1F
15	8	F
16	6	F+
17	2	1T:3F
18	3	3T:1F
19	8	F
20	6	F+
21	1	1T:1F
22	5	T+
23	7	T
24	4	TF-M
25	1	1T:1F
26	7	T
27	5	T+
28	8	F
29	6	F+
30	4	TF-M
31	3	3T:1F
32	2	1T:3F
33	8	F
34	2	1T:3F
35	5	T+
36	4	TF-M
37	1	1T:1F
38	6	F+
39	7	T
40	3	3T:1F
