plot	time	faba	weed	cereal	all
1	34	0.0138805748139763	0.00062836266538962	0.090791062520634	0.1053
1	43	0.0501588998893309	0.00141152952671512	0.203429570583954	0.255
1	48	0.0290636316322624	0.00232408352742239	0.239612284840315	0.271
1	54	0.0711594165922524	0.00969840257402446	0.341042180833723	0.4219
1	60	0.0845667806761446	0.00888447651621755	0.426348742807638	0.5198
1	67	0.102328888317351	0.0209946787167837	0.630076432965866	0.7534
1	74	0.172612229680347	0.0230395053320286	0.631548264987624	0.8272
1	81	0.242219436677207	0.0131523818135509	0.573428181509242	0.8288
1	90	0.163305052471225	0.01313802377191	0.692456923756865	0.8689
2	34	0.0729227016622247	0.00234555444877981	-0.00716825611100449	0.0681
2	43	0.146050002633097	0.00512810805550519	-0.0150781106886022	0.1361
2	48	0.184956100512627	0.00718463328851783	-0.00924073380114461	0.1829
2	54	0.243351964463469	0.0483958324940545	-0.0094477969575237	0.2823
2	60	0.327175501446581	0.0736109742037809	-0.0179864756503618	0.3828
2	67	0.575788657198245	0.108819401077553	0.0192919417242017	0.7039
2	90	0.819312696673656	0.146146355827491	-0.0211590525011463	0.9443
3	34	0	0.0015630530303701	0.11793694696963	0.1195
3	43	0	0.00764432140156004	0.30125567859844	0.3089
3	48	0	0.00876761254960699	0.337632387450393	0.3464
3	54	0	0.0207202918909905	0.51207970810901	0.5328
3	60	0	0.0225536456969204	0.57664635430308	0.5992
3	67	0	0.0391127956811242	0.778887204318876	0.818
3	74	0	0.033317375899229	0.809282624100771	0.8426
3	81	0	0.0274386602317214	0.808661339768279	0.8361
3	90	0	0.00737271067722285	0.854627289322777	0.862
4	34	0	0.0017277717644846	0.244072228235515	0.2458
4	43	0	0.00378806794537131	0.506911932054629	0.5107
4	48	0	0.00536616057634343	0.437733839423657	0.4431
4	54	0	0.0123355898265435	0.680464410173456	0.6928
4	60	0	0.00634211863034697	0.714057881369653	0.7204
4	67	0	0.0107687647155424	0.820331235284458	0.8311
4	74	0	0.0125854631402232	0.843614536859777	0.8562
4	81	0	0.00911357262045902	0.825986427379541	0.8351
4	90	0	0.00470140236615751	0.822998597633843	0.8277
5	34	0.0154108976120177	0.00315911368746106	0.0631299887005212	0.0817
5	43	0.0333579517001356	0.00526610539895143	0.114675942900913	0.1533
5	48	0.029676677457284	0.0180197893346157	0.1406035332081	0.1883
5	54	0.0465217757297953	0.0249018459746851	0.24537637829552	0.3168
5	60	0.0590410864165474	0.0360286192944087	0.312630294289044	0.4077
5	67	0.127065512747842	0.0762066769124685	0.453927810339689	0.6572
5	74	0.208557735837275	0.0725508627091543	0.481591401453571	0.7627
5	81	0.247460790479185	0.0835885763561349	0.53815063316468	0.8692
5	90	0.327365815901721	0.0459980796160611	0.474736104482218	0.8481
6	34	0.0232070103176274	0.00112343626476746	0.0533695534176052	0.0777
6	43	0.0567989710063096	0.00404213182070683	0.0838588971729836	0.1447
6	48	0.0641995928927554	0.00911873767716569	0.0995816694300789	0.1729
6	54	0.0947536870180118	0.0259545011887946	0.211891811793194	0.3326
6	60	0.110879035263033	0.0176170635592742	0.297603901177693	0.4261
6	67	0.083752816355781	0.043333538130784	0.506413645513435	0.6335
6	74	0.28996665921906	0.0342145243843686	0.454618816396571	0.7788
6	81	0.390393196055767	0.0141026585042168	0.488204145440016	0.8927
6	90	0.24330432827648	0.00938585314262402	0.639809818580896	0.8925
7	34	0.0420260756055	0.00028894602877772	-0.00281502163427777	0.0395
7	43	0.07304425795167	0.00134087179746805	-0.0150851297491381	0.0593
7	48	0.0878182961260835	0.00506715005596793	-0.00438544618205147	0.0885
7	54	0.105634609888079	0.0207885637067663	0.000676826405154502	0.1271
7	60	0.155679770197907	0.027548100174705	0.000172129627387999	0.1834
7	67	0.444458802962907	0.0597772872059711	0.00546390983112186	0.5097
7	74	0.63900751824533	0.121759347364028	0.000233134390641487	0.761
7	81	0.743013810822241	0.0861045817865762	0.0922816073911828	0.9214
7	90	0.871493049554999	0.107504513918892	-0.00889756347389045	0.9701
8	34	0.0146287399906814	0.00024558495883693	0.0190256750504817	0.0339
8	43	0.0337224964090636	0.0020064397016844	0.043971063889252	0.0797
8	48	0.0459482774215139	0.00512262461446622	0.0573290979640199	0.1084
8	54	0.0732746014639945	0.0239456616186693	0.0846797369173362	0.1819
8	60	0.0857540718217267	0.045971423342765	0.122974504835508	0.2547
8	67	0.182869628166975	0.0652742754595753	0.23315609637345	0.4813
8	74	0.232357022744971	0.0843661403226981	0.31957683693233	0.6363
8	81	0.28138868649688	0.0806760197809214	0.402535293722199	0.7646
8	90	0.520260279668604	0.0389324966208351	0.35890722371056	0.9181
9	34	0	0.00180024395201301	0.138599756047987	0.1404
9	43	0	0.00081862960479152	0.257781370395208	0.2586
9	48	0	0.00243079710550156	0.295669202894498	0.2981
9	54	0	0.0088176972157096	0.47358230278429	0.4824
9	60	0	0.00685266528071885	0.518347334719281	0.5252
9	67	0	0.022568427665254	0.720531572334746	0.7431
9	74	0	0.0149926831437419	0.714507316856258	0.7295
9	81	0	0.0164001101683025	0.693399889831697	0.7098
9	90	0	0.00463621510758855	0.662263784892411	0.6669
10	34	0	0.00089302265228191	0.243306977347718	0.2442
10	43	0	0.00250814035634852	0.511291859643652	0.5138
10	48	0	0.00600805178475364	0.510191948215246	0.5162
10	54	0	0.0180124584003351	0.618187541599665	0.6362
10	60	0	0.0112503718080302	0.69564962819197	0.7069
10	60	0	0.0112503718080302	0.69564962819197	0.7069
10	60	0	0.0112503718080302	0.69564962819197	0.7069
